region,year,value,id
CA,2000.0,0.46005841768747147,sigma_stub
CA,2002.0,0.43943161093669586,sigma_stub
CA,2003.0,0.5012338120354626,sigma_stub
CA,2004.0,0.45839200937224317,sigma_stub
CA,2005.0,0.40714645014711115,sigma_stub
CA,2006.0,0.4789276043927588,sigma_stub
CA,2007.0,0.554320003610411,sigma_stub
CA,2008.0,0.5257664770503394,sigma_stub
CA,2009.0,0.3937011811354406,sigma_stub
CA,2010.0,0.3487662823163158,sigma_stub
CA,2011.0,0.40013804299701183,sigma_stub
CA,2012.0,0.4533060783477795,sigma_stub
CA,2013.0,0.26399753802889325,sigma_stub
CA,2014.0,0.43249666688539634,sigma_stub
CA,2015.0,0.3503271242197548,sigma_stub
CA,2016.0,0.3914186116237239,sigma_stub
CA,2017.0,0.40645928137141524,sigma_stub
CA,2018.0,0.42469598749046766,sigma_stub
CA,2019.0,0.48293044290993065,sigma_stub
CA,2020.0,0.5334010695554142,sigma_stub
CA,2021.0,0.4397172269644773,sigma_stub
CA,2022.0,0.5593170776439749,sigma_stub
CA,2023.0,0.3967844261210709,sigma_stub
DE,2000.0,0.4781208056074416,sigma_stub
DE,2002.0,0.5222776145321447,sigma_stub
DE,2003.0,0.45752098382087,sigma_stub
DE,2004.0,0.3905200600516953,sigma_stub
DE,2005.0,0.3762619698993265,sigma_stub
DE,2006.0,0.4133819339466129,sigma_stub
DE,2007.0,0.467615609877604,sigma_stub
DE,2008.0,0.36923054531690114,sigma_stub
DE,2009.0,0.43326595401026297,sigma_stub
DE,2010.0,0.4372619992068418,sigma_stub
DE,2011.0,0.4932676467748646,sigma_stub
DE,2012.0,0.4671727298005073,sigma_stub
DE,2013.0,0.47842981672319373,sigma_stub
DE,2014.0,0.39769371124653285,sigma_stub
DE,2015.0,0.43963090930457843,sigma_stub
DE,2016.0,0.5127180376049064,sigma_stub
DE,2017.0,0.5694744916176608,sigma_stub
DE,2018.0,0.3492747574316704,sigma_stub
DE,2019.0,0.571113901979125,sigma_stub
DE,2020.0,0.5576700339025844,sigma_stub
DE,2021.0,0.5125049120560342,sigma_stub
DE,2022.0,0.4711564504263443,sigma_stub
DE,2023.0,0.4248861748370858,sigma_stub
FR,2000.0,0.5666416546829567,sigma_stub
FR,2002.0,0.6068206653159972,sigma_stub
FR,2003.0,0.59413078958929,sigma_stub
FR,2004.0,0.5552083011787496,sigma_stub
FR,2005.0,0.4785904328527165,sigma_stub
FR,2006.0,0.3533345094174263,sigma_stub
FR,2007.0,0.44964366935039335,sigma_stub
FR,2008.0,0.5025179948061069,sigma_stub
FR,2009.0,0.34693108290003566,sigma_stub
FR,2010.0,0.4816097648145607,sigma_stub
FR,2011.0,0.4843890955857784,sigma_stub
FR,2012.0,0.5056834179170295,sigma_stub
FR,2013.0,0.3552705626594249,sigma_stub
FR,2014.0,0.3970637942368772,sigma_stub
FR,2015.0,0.4150851802285423,sigma_stub
FR,2016.0,0.3564158473781709,sigma_stub
FR,2017.0,0.5891494301704108,sigma_stub
FR,2018.0,0.41032714172462786,sigma_stub
FR,2019.0,0.47631757035681616,sigma_stub
FR,2020.0,0.4293141963620861,sigma_stub
FR,2021.0,0.5766778303041697,sigma_stub
FR,2022.0,0.5556288789665471,sigma_stub
FR,2023.0,0.5006682098259932,sigma_stub
GB,2000.0,0.27371920954826795,sigma_stub
GB,2002.0,0.4541623179407909,sigma_stub
GB,2003.0,0.5046948952621227,sigma_stub
GB,2004.0,0.5303169260673736,sigma_stub
GB,2005.0,0.40056743642339193,sigma_stub
GB,2006.0,0.5957609090662659,sigma_stub
GB,2007.0,0.34436552239893653,sigma_stub
GB,2008.0,0.3970777582547825,sigma_stub
GB,2009.0,0.5248039990491218,sigma_stub
GB,2010.0,0.45392436910602496,sigma_stub
GB,2011.0,0.6101914066916204,sigma_stub
GB,2012.0,0.4650815354009973,sigma_stub
GB,2013.0,0.3993444727846219,sigma_stub
GB,2014.0,0.4197949195813753,sigma_stub
GB,2015.0,0.3627083105904644,sigma_stub
GB,2016.0,0.3477855866890714,sigma_stub
GB,2017.0,0.5004329192614586,sigma_stub
GB,2018.0,0.4964932649930245,sigma_stub
GB,2019.0,0.5535647055552894,sigma_stub
GB,2020.0,0.3896315366992055,sigma_stub
GB,2021.0,0.5851285961954938,sigma_stub
GB,2022.0,0.4270089833753067,sigma_stub
GB,2023.0,0.5759526623075669,sigma_stub
JP,2000.0,0.4153771322253923,sigma_stub
JP,2002.0,0.391161336612618,sigma_stub
JP,2003.0,0.46998282972469335,sigma_stub
JP,2004.0,0.5325162467895578,sigma_stub
JP,2005.0,0.46288076613722756,sigma_stub
JP,2006.0,0.4031576940701331,sigma_stub
JP,2007.0,0.3427024228738665,sigma_stub
JP,2008.0,0.33787838280660576,sigma_stub
JP,2009.0,0.49021462798998927,sigma_stub
JP,2010.0,0.5291770426628644,sigma_stub
JP,2011.0,0.43685643258997675,sigma_stub
JP,2012.0,0.36405081134172523,sigma_stub
JP,2013.0,0.5198433722097365,sigma_stub
JP,2014.0,0.34756848442283417,sigma_stub
JP,2015.0,0.3929545523952582,sigma_stub
JP,2016.0,0.4996814282832079,sigma_stub
JP,2017.0,0.2699887061140327,sigma_stub
JP,2018.0,0.48090956780530447,sigma_stub
JP,2019.0,0.40346873308723974,sigma_stub
JP,2020.0,0.45874237579822513,sigma_stub
JP,2021.0,0.44394387790233414,sigma_stub
JP,2022.0,0.4661691516035168,sigma_stub
JP,2023.0,0.5055337549365606,sigma_stub
US,2000.0,0.3893304199281273,sigma_stub
US,2002.0,0.5636785617849533,sigma_stub
US,2003.0,0.5080875031158212,sigma_stub
US,2004.0,0.5174986129842615,sigma_stub
US,2005.0,0.5431891184888823,sigma_stub
US,2006.0,0.5130070577364696,sigma_stub
US,2007.0,0.5175262944462874,sigma_stub
US,2008.0,0.4560474888594308,sigma_stub
US,2009.0,0.33585809192082144,sigma_stub
US,2010.0,0.4391963919970389,sigma_stub
US,2011.0,0.38843882878586355,sigma_stub
US,2012.0,0.33618065851876694,sigma_stub
US,2013.0,0.47067622327303904,sigma_stub
US,2014.0,0.4045160436681886,sigma_stub
US,2015.0,0.36761564495908294,sigma_stub
US,2016.0,0.36655991359427476,sigma_stub
US,2017.0,0.47147336637671317,sigma_stub
US,2018.0,0.47869375593362756,sigma_stub
US,2019.0,0.5557965975813467,sigma_stub
US,2020.0,0.4488868265180725,sigma_stub
US,2021.0,0.5333471807370258,sigma_stub
US,2022.0,0.5621811861418018,sigma_stub
US,2023.0,0.5420132508919754,sigma_stub
